"synonyms","species"
"Pteroicnemia_pennata","Pterocnemia_pennata"
"Casuarius_casurius","Casuarius_casuarius"
"Apteryx_haasti","Apteryx_haastii"
"Apteryx_oweni","Apteryx_owenii"
"Nothura_darwini","Nothura_darwinii"
"Toaniscus_nanus","Taoniscus_nanus"
"Pygoscelis_antarctica","Pygoscelis_antarcticus"
"Eudyptes_crestatus","Eudyptes_chrysocome"
"Podiceps_dominicus","Tachybaptus_dominicus"
"Podiceps_major","Podicephorus_major"
"Podiceps_novaehollandiae","Tachybaptus_novaehollandiae"
"Podiceps_pelzelnii","Tachybaptus_pelzelnii"
"Podiceps_poliocephalus","Poliocephalus_poliocephalus"
"Podiceps_rolland","Rollandia_rolland"
"Podiceps_ruficollis","Tachybaptus_ruficollis"
"Podiceps_rufolaratus","Tachybaptus_rufolavatus"
"Podiceps_rufopectus","Poliocephalus_rufopectus"
"Diomedea_albatrus","Phoebastria_albatrus"
"Diomedea_nigripes","Phoebastria_nigripes"
"Diomedea_immutabilis","Phoebastria_immutabilis"
"Diomedea_melanophris","Thalassarche_melanophris"
"Diomedea_cauta","Thalassarche_cauta"
"Diomedea_chlororhynchos","Thalassarche_chlororhynchos"
"Diomedea_bulleri","Thalassarche_bulleri"
"Diomedea_chrysostoma","Thalassarche_chrysostoma"
"Diomedea_fusca","Phoebetria_fusca"
"Diomedea_irrorata","Phoebastria_irrorata"
"Diomedea_palpebrata","Phoebetria_palpebrata"
"Adamastor_cinereus","Procellaria_cinerea"
"Puffinus_diomedea","Calonectris_diomedea"
"Puffinus_leucomelas","Calonectris_leucomelas"
"Pterodroma_cooki","Pterodroma_cookii"
"Pterodroma_brevirostris","Aphrodroma_brevirostris"
"Pterodroma_rostrata","Pseudobulweria_rostrata"
"Pachyptila_forsteri","Pachyptila_vittata"
"Bulweria_bulweria","Bulweria_bulwerii"
"Bulweria_macgillivrayi","Pseudobulweria_macgillivrayi"
"Halocyptena_microsoma","Oceanodroma_microsoma"
"Nesofregetta_albigularis","Nesofregetta_fuliginosa"
"Sula_abbotti","Papasula_abbotti"
"Sula_bassanus","Morus_bassanus"
"Phalacrocorax_africanus","Microcarbo_africanus"
"Phalacrocorax_albiventer","Leucocarbo_albiventer"
"Phalacrocorax_verrucosus","Leucocarbo_verrucosus"
"Phalacrocorax_atriceps","Leucocarbo_atriceps"
"Phalacrocorax_bougainvillii","Leucocarbo_bougainvillii"
"Phalacrocorax_campbelli","Leucocarbo_campbelli"
"Phalacrocorax_carunculatus","Leucocarbo_carunculatus"
"Phalacrocorax_colensoi","Leucocarbo_colensoi"
"Phalacrocorax_coronatus","Microcarbo_coronatus"
"Phalacrocorax_melanoleucos","Microcarbo_melanoleucos"
"Phalacrocorax_niger","Microcarbo_niger"
"Ardea_imperialis","Ardea_insignis"
"Ardea_novaehollandiae","Egretta_novaehollandiae"
"Ardea_picata","Egretta_picata"
"Butorides_rufiventris","Ardeola_rufiventris"
"Butorides_striatus","Butorides_striata"
"Florida_caerulea","Egretta_caerulea"
"Dichromanassa_rufescens","Egretta_rufescens"
"Casmerodius_albus","Ardea_alba"
"Egretta_alba","Ardea_alba"
"Hydranassa_tricolor","Egretta_tricolor"
"Nycticorax_leuconotus","Gorsachius_leuconotus"
"Nycticorax_magnifica","Gorsachius_magnificus"
"Nycticorax_violaceus","Nyctanassa_violacea"
"Nycticorax_goisagi","Gorsachius_goisagi"
"Nycticorax_melanolophus","Gorsachius_melanolophus"
"Tigriornis_leucolophus","Tigriornis_leucolopha"
"Ibis_ibis","Mycteria_ibis"
"Ibis_cinereus","Mycteria_cinerea"
"Ibis_leucocephalus","Mycteria_leucocephala"
"Euxenura_maguari","Ciconia_maguari"
"Xenorhynchus_asiaticua","Ephippiorhynchus_asiaticus"
"Plegadis_chichi","Plegadis_chihi"
"Ajaia_ajaja","Platalea_ajaja"
"Harpiprion_caerulescens","Theristicus_caerulescens"
"Cygnus_atractus","Cygnus_atratus"
"Olor_cygnus","Cygnus_cygnus"
"Olor_columbianus","Cygnus_columbianus"
"Olor_buccinator","Cygnus_buccinator"
"Philacte_canagica","Chen_canagica"
"Anser_caerulescens","Chen_caerulescens"
"Anser_hyperboreus","Chen_caerulescens"
"Anser_canagicus","Chen_canagica"
"Anser_rossii","Chen_rossii"
"Anas_poecilorhynca","Anas_poecilorhyncha"
"Mareca_americana","Anas_americana"
"Anas_angustirostris","Marmaronetta_angustirostris"
"Anas_erythrorhynchos","Anas_erythrorhyncha"
"Anas_leucophrys","Callonetta_leucophrys"
"Anas_smithi","Anas_smithii"
"Anas_specularis","Speculanas_specularis"
"Anas_waigiuensis","Salvadorina_waigiuensis"
"Oxyura_dominica","Nomonyx_dominicus"
"Mergus_albellus","Mergellus_albellus"
"Mergus_cucullatus","Lophodytes_cucullatus"
"Lophonetta_specularoides","Lophonetta_specularioides"
"Tachyeres_brachyapterus","Tachyeres_brachypterus"
"Sarkidiornis_melanotus","Sarkidiornis_melanotos"
"Cairina_scutulata","Asarcornis_scutulata"
"Pteronetta_hartlaubi","Pteronetta_hartlaubii"
"Glaucionetta_albeola","Bucephala_albeola"
"Nesochen_sandvicensis","Branta_sandvicensis"
"Vultur_californianus","Gymnogyps_californianus"
"Elanus_notatus","Elanus_axillaris"
"Elanus_riocourii","Chelictinia_riocourii"
"Ictinia_misisippiensis","Ictinia_mississippiensis"
"Rostrhamus_hamatus","Helicolestes_hamatus"
"Accipiter_buergersi","Erythrotriorchis_buergersi"
"Accipiter_francesii","Accipiter_francesiae"
"Accipiter_griseiceps","Accipiter_griseiceps"
"Accipiter_madagascariensis","Accipiter_madagascariensis"
"Buteo_leucorrhous","Percnohierax_leucorrhous"
"Buteo_magnirostris","Rupornis_magnirostris"
"Buteo_areophilus","Buteo_oreophilus"
"Aquila_wahlbergi","Hieraaetus_wahlbergi"
"Pernis_ptilorhyncus","Pernis_ptilorhynchus"
"Macheiramphus_alcinus","Macheiramphus_alcinus"
"Ichthyophaga_ichthyaetus","Icthyophaga_ichthyaetus"
"Ichthyophaga_nana","Icthyophaga_humilis"
"Neophron_manachus","Necrosyrtes_monachus"
"Aegypius_tracheliotus","Torgos_tracheliotus"
"Melierax_gabar","Micronisus_gabar"
"Leucopternis_lacernulata","Leucopternis_lacernulatus"
"Leucopternis_plumbea","Leucopternis_plumbeus"
"Leucopternis_polionota","Leucopternis_polionotus"
"Leucopternis_schistacea","Leucopternis_schistaceus"
"Leucopternis_semiplumbea","Leucopternis_semiplumbeus"
"Heterospizias_meridianalis","Buteogallus_meridionalis"
"Hieraaetus_dubius","Hieraaetus_pennatus"
"Hieraaetus_fasciatus","Aquila_fasciata"
"Hieraaetus_kienerii","Lophotriorchis_kienerii"
"Spizastur_melanoleucus","Spizaetus_melanoleucus"
"Spizaetus_africanus","Aquila_africana"
"Spizaetus_alboniger","Nisaetus_alboniger"
"Spizaetus_bartelsi","Nisaetus_bartelsi"
"Spizaetus_cirrhatus","Nisaetus_cirrhatus"
"Spizaetus_lanceolatus","Nisaetus_lanceolatus"
"Spizaetus_nanus","Nisaetus_nanus"
"Spizaetus_nipalensis","Nisaetus_nipalensis"
"Spizaetus_philippensis","Nisaetus_philippensis"
"Oroaetus_isidori","Spizaetus_isidori"
"Falco_araea","Falco_araeus"
"Falco_cuvieri","Falco_cuvierii"
"Daptrius_americanus","Ibycter_americanus"
"Spiziapteryx_circumcinctus","Spiziapteryx_circumcincta"
"Microhierax_melanoleucus","Microhierax_melanoleucos"
"Polyborus_plancus","Caracara_plancus"
"Megapodius_pritchardi","Megapodius_pritchardii"
"Megapodius_wallacei","Eulipoa_wallacei"
"Talegalla_fuscirostis","Talegalla_fuscirostris"
"Ortalis_cienericeps","Ortalis_cinereiceps"
"Ortalis_leucogaster","Ortalis_leucogastra"
"Crax_mitu","Mitu_mitu"
"Crax_pauxi","Pauxi_pauxi"
"Crax_salvini","Mitu_salvini"
"Crax_tomentosa","Mitu_tomentosum"
"Crax_unicornis","Pauxi_unicornis"
"Dendrogapus_obscurus","Dendragapus_obscurus"
"Dendrogapus_canadensis","Falcipennis_canadensis"
"Dendragapus_falcipennis","Falcipennis_falcipennis"
"Canachites_canadensis","Falcipennis_canadensis"
"Bonasa_bonasia","Tetrastes_bonasia"
"Bonasa_sewerzowi","Tetrastes_sewerzowi"
"Lagopus_mutus","Lagopus_muta"
"Lagopus_leucurus","Lagopus_leucura"
"Pedioecetes_phasianellus","Tympanuchus_phasianellus"
"Dendragapus_canadensis","Falcipennis_canadensis"
"Lophortyx_californica","Callipepla_californica"
"Lophortyx_gambelii","Callipepla_gambelii"
"Lophortyx_douglasii","Callipepla_douglasii"
"Perdix_dauuricae","Perdix_dauurica"
"Perdix_hodgson","Perdix_hodgsoniae"
"Dendrortyx_macrora","Dendrortyx_macroura"
"Tetraogallus_caucasius","Tetraogallus_caucasicus"
"Francolinus_pindateanus","Francolinus_pintadeanus"
"Margaroperdix_madagascariensis","Margaroperdix_madagarensis"
"Melanoperdix_nigra","Melanoperdix_niger"
"Coturnix_corturnix","Coturnix_coturnix"
"Coturnix_novaezealandiae","Coturnix_novaezelandiae"
