synonyms,species,dataset
Pteroicnemia_pennata,Pterocnemia_pennata,itis1
Casuarius_casurius,Casuarius_casuarius,itis1
Apteryx_haasti,Apteryx_haastii,itis1
Apteryx_oweni,Apteryx_owenii,itis1
Nothura_darwini,Nothura_darwinii,itis1
Toaniscus_nanus,Taoniscus_nanus,itis1
Pygoscelis_antarctica,Pygoscelis_antarcticus,itis1
Eudyptes_crestatus,Eudyptes_chrysocome,itis1
Podiceps_dominicus,Tachybaptus_dominicus,itis1
Podiceps_major,Podicephorus_major,itis1
Podiceps_novaehollandiae,Tachybaptus_novaehollandiae,itis1
Podiceps_pelzelnii,Tachybaptus_pelzelnii,itis1
Podiceps_poliocephalus,Poliocephalus_poliocephalus,itis1
Podiceps_rolland,Rollandia_rolland,itis1
Podiceps_ruficollis,Tachybaptus_ruficollis,itis1
Podiceps_rufolaratus,Tachybaptus_rufolavatus,itis1
Podiceps_rufopectus,Poliocephalus_rufopectus,itis1
Diomedea_albatrus,Phoebastria_albatrus,itis1
Diomedea_nigripes,Phoebastria_nigripes,itis1
Diomedea_immutabilis,Phoebastria_immutabilis,itis1
Diomedea_melanophris,Thalassarche_melanophris,itis1
Diomedea_cauta,Thalassarche_cauta,itis1
Diomedea_chlororhynchos,Thalassarche_chlororhynchos,itis1
Diomedea_bulleri,Thalassarche_bulleri,itis1
Diomedea_chrysostoma,Thalassarche_chrysostoma,itis1
Diomedea_fusca,Phoebetria_fusca,itis1
Diomedea_irrorata,Phoebastria_irrorata,itis1
Diomedea_palpebrata,Phoebetria_palpebrata,itis1
Adamastor_cinereus,Procellaria_cinerea,itis1
Puffinus_diomedea,Calonectris_diomedea,itis1
Puffinus_leucomelas,Calonectris_leucomelas,itis1
Pterodroma_cooki,Pterodroma_cookii,itis1
Pterodroma_brevirostris,Aphrodroma_brevirostris,itis1
Pterodroma_rostrata,Pseudobulweria_rostrata,itis1
Pachyptila_forsteri,Pachyptila_vittata,itis1
Bulweria_bulweria,Bulweria_bulwerii,itis1
Bulweria_macgillivrayi,Pseudobulweria_macgillivrayi,itis1
Halocyptena_microsoma,Oceanodroma_microsoma,itis1
Nesofregetta_albigularis,Nesofregetta_fuliginosa,itis1
Sula_abbotti,Papasula_abbotti,itis1
Sula_bassanus,Morus_bassanus,itis1
Phalacrocorax_africanus,Microcarbo_africanus,itis1
Phalacrocorax_albiventer,Leucocarbo_albiventer,itis1
Phalacrocorax_verrucosus,Leucocarbo_verrucosus,itis1
Phalacrocorax_atriceps,Leucocarbo_atriceps,itis1
Phalacrocorax_bougainvillii,Leucocarbo_bougainvillii,itis1
Phalacrocorax_campbelli,Leucocarbo_campbelli,itis1
Phalacrocorax_carunculatus,Leucocarbo_carunculatus,itis1
Phalacrocorax_colensoi,Leucocarbo_colensoi,itis1
Phalacrocorax_coronatus,Microcarbo_coronatus,itis1
Phalacrocorax_melanoleucos,Microcarbo_melanoleucos,itis1
Phalacrocorax_niger,Microcarbo_niger,itis1
Ardea_imperialis,Ardea_insignis,itis1
Ardea_novaehollandiae,Egretta_novaehollandiae,itis1
Ardea_picata,Egretta_picata,itis1
Butorides_rufiventris,Ardeola_rufiventris,itis1
Butorides_striatus,Butorides_striata,itis1
Florida_caerulea,Egretta_caerulea,itis1
Dichromanassa_rufescens,Egretta_rufescens,itis1
Casmerodius_albus,Ardea_alba,itis1
Egretta_alba,Ardea_alba,itis1
Hydranassa_tricolor,Egretta_tricolor,itis1
Nycticorax_leuconotus,Gorsachius_leuconotus,itis1
Nycticorax_magnifica,Gorsachius_magnificus,itis1
Nycticorax_violaceus,Nyctanassa_violacea,itis1
Nycticorax_goisagi,Gorsachius_goisagi,itis1
Nycticorax_melanolophus,Gorsachius_melanolophus,itis1
Tigriornis_leucolophus,Tigriornis_leucolopha,itis1
Ibis_ibis,Mycteria_ibis,itis1
Ibis_cinereus,Mycteria_cinerea,itis1
Ibis_leucocephalus,Mycteria_leucocephala,itis1
Euxenura_maguari,Ciconia_maguari,itis1
Xenorhynchus_asiaticua,Ephippiorhynchus_asiaticus,itis1
Plegadis_chichi,Plegadis_chihi,itis1
Ajaia_ajaja,Platalea_ajaja,itis1
Harpiprion_caerulescens,Theristicus_caerulescens,itis1
Cygnus_atractus,Cygnus_atratus,itis1
Olor_cygnus,Cygnus_cygnus,itis1
Olor_columbianus,Cygnus_columbianus,itis1
Olor_buccinator,Cygnus_buccinator,itis1
Philacte_canagica,Chen_canagica,itis1
Anser_caerulescens,Chen_caerulescens,itis1
Anser_hyperboreus,Chen_caerulescens,itis1
Anser_canagicus,Chen_canagica,itis1
Anser_rossii,Chen_rossii,itis1
Anas_poecilorhynca,Anas_poecilorhyncha,itis1
Mareca_americana,Anas_americana,itis1
Anas_angustirostris,Marmaronetta_angustirostris,itis1
Anas_erythrorhynchos,Anas_erythrorhyncha,itis1
Anas_leucophrys,Callonetta_leucophrys,itis1
Anas_smithi,Anas_smithii,itis1
Anas_specularis,Speculanas_specularis,itis1
Anas_waigiuensis,Salvadorina_waigiuensis,itis1
Oxyura_dominica,Nomonyx_dominicus,itis1
Mergus_albellus,Mergellus_albellus,itis1
Mergus_cucullatus,Lophodytes_cucullatus,itis1
Lophonetta_specularoides,Lophonetta_specularioides,itis1
Tachyeres_brachyapterus,Tachyeres_brachypterus,itis1
Sarkidiornis_melanotus,Sarkidiornis_melanotos,itis1
Cairina_scutulata,Asarcornis_scutulata,itis1
Pteronetta_hartlaubi,Pteronetta_hartlaubii,itis1
Glaucionetta_albeola,Bucephala_albeola,itis1
Nesochen_sandvicensis,Branta_sandvicensis,itis1
Vultur_californianus,Gymnogyps_californianus,itis1
Elanus_notatus,Elanus_axillaris,itis1
Elanus_riocourii,Chelictinia_riocourii,itis1
Ictinia_misisippiensis,Ictinia_mississippiensis,itis1
Rostrhamus_hamatus,Helicolestes_hamatus,itis1
Accipiter_buergersi,Erythrotriorchis_buergersi,itis1
Accipiter_francesii,Accipiter_francesiae,itis1
Accipiter_griseiceps,Accipiter_griseiceps,itis1
Accipiter_madagascariensis,Accipiter_madagascariensis,itis1
Buteo_leucorrhous,Percnohierax_leucorrhous,itis1
Buteo_magnirostris,Rupornis_magnirostris,itis1
Buteo_areophilus,Buteo_oreophilus,itis1
Aquila_wahlbergi,Hieraaetus_wahlbergi,itis1
Pernis_ptilorhyncus,Pernis_ptilorhynchus,itis1
Macheiramphus_alcinus,Macheiramphus_alcinus,itis1
Ichthyophaga_ichthyaetus,Icthyophaga_ichthyaetus,itis1
Ichthyophaga_nana,Icthyophaga_humilis,itis1
Neophron_manachus,Necrosyrtes_monachus,itis1
Aegypius_tracheliotus,Torgos_tracheliotus,itis1
Melierax_gabar,Micronisus_gabar,itis1
Leucopternis_lacernulata,Leucopternis_lacernulatus,itis1
Leucopternis_plumbea,Leucopternis_plumbeus,itis1
Leucopternis_polionota,Leucopternis_polionotus,itis1
Leucopternis_schistacea,Leucopternis_schistaceus,itis1
Leucopternis_semiplumbea,Leucopternis_semiplumbeus,itis1
Heterospizias_meridianalis,Buteogallus_meridionalis,itis1
Hieraaetus_dubius,Hieraaetus_pennatus,itis1
Hieraaetus_fasciatus,Aquila_fasciata,itis1
Hieraaetus_kienerii,Lophotriorchis_kienerii,itis1
Spizastur_melanoleucus,Spizaetus_melanoleucus,itis1
Spizaetus_africanus,Aquila_africana,itis1
Spizaetus_alboniger,Nisaetus_alboniger,itis1
Spizaetus_bartelsi,Nisaetus_bartelsi,itis1
Spizaetus_cirrhatus,Nisaetus_cirrhatus,itis1
